replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
3.000000,benign_long_run,nearest_web,50.000000,50.000000,95.000000,8.194840,0.000000,11.000000,11.000000,11.000000,1.342308,0.498333,0.912765,9709.042164,0.000000,0.000000,1.000000,1.000000,516.000000
3.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.434534,0.000000,11.000000,11.000000,11.000000,3.202764,0.495000,0.913412,9696.709514,0.000000,0.000000,1.000000,1.000000,978.000000
3.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,6.722009,0.000000,11.000000,11.000000,11.000000,1.636415,0.465000,0.917512,9768.938043,0.000000,0.000000,1.000000,1.000000,313.000000
3.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,7.133292,0.000000,11.000000,11.000000,11.000000,1.542065,0.475000,0.917066,9778.806148,0.000000,0.000000,1.000000,1.000000,447.000000
3.000000,costly_movement,nearest_web,50.000000,50.000000,95.000000,8.194840,0.000000,11.000000,11.000000,11.000000,1.342308,0.495000,0.913477,9625.679585,0.000000,0.000000,1.000000,1.000000,538.000000
3.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,3.434534,0.000000,11.000000,11.000000,11.000000,3.202764,0.493333,0.914004,9604.699608,0.000000,0.000000,1.000000,1.000000,1042.000000
3.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,6.722009,0.000000,11.000000,11.000000,11.000000,1.636415,0.465000,0.918047,9646.789254,0.000000,-0.000000,1.000000,1.000000,330.000000
3.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,7.133292,0.000000,11.000000,11.000000,11.000000,1.542065,0.470000,0.917624,9663.834387,0.000000,0.000000,1.000000,1.000000,486.000000
3.000000,edge_disturbance,nearest_web,50.000000,50.000000,95.000000,8.194840,0.000000,11.000000,11.000000,11.000000,1.342308,0.498333,0.913314,9665.373640,0.000000,0.000000,1.000000,1.000000,522.000000
3.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,3.434534,0.000000,11.000000,11.000000,11.000000,3.202764,0.495000,0.913777,9645.267722,0.000000,0.000000,1.000000,1.000000,1001.000000
