scenario,geometry,metric,mean,sd,q05,q50,q95
edge_disturbance,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,nearest_web,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
edge_disturbance,minimum_spanning_tree,graph_edges,49.000000,0.000000,49.000000,49.000000,49.000000
edge_disturbance,minimum_spanning_tree,total_corridor_length,3.857079,0.257589,3.467114,3.872804,4.269225
edge_disturbance,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,minimum_spanning_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,minimum_spanning_tree,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,minimum_spanning_tree,persistent_species_per_length,3.040306,0.232798,2.660008,3.011387,3.408157
edge_disturbance,minimum_spanning_tree,final_mean_occupancy,0.481967,0.026819,0.434833,0.485000,0.522167
edge_disturbance,minimum_spanning_tree,recent_evenness,0.900324,0.025921,0.861228,0.903411,0.940225
edge_disturbance,minimum_spanning_tree,recent_regional_total,9709.995563,302.133826,9289.315715,9690.907539,10108.196016
edge_disturbance,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,minimum_spanning_tree,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
edge_disturbance,dendritic_tree,graph_edges,84.000000,0.000000,84.000000,84.000000,84.000000
edge_disturbance,dendritic_tree,total_corridor_length,7.303052,0.488867,6.538364,7.281549,8.060751
edge_disturbance,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,dendritic_tree,final_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,dendritic_tree,long_run_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,dendritic_tree,recent_persistent_species,11.680000,0.551066,11.000000,12.000000,12.000000
edge_disturbance,dendritic_tree,persistent_species_per_length,1.605652,0.122585,1.420479,1.616964,1.792162
edge_disturbance,dendritic_tree,final_mean_occupancy,0.474867,0.026184,0.427250,0.476667,0.506833
edge_disturbance,dendritic_tree,recent_evenness,0.900168,0.025860,0.863310,0.903522,0.939393
edge_disturbance,dendritic_tree,recent_regional_total,9701.475747,298.385550,9285.474280,9697.437651,10120.972224
edge_disturbance,dendritic_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,dendritic_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,dendritic_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,dendritic_tree,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
edge_disturbance,hybrid_dendritic,graph_edges,89.780000,0.418452,89.000000,90.000000,90.000000
edge_disturbance,hybrid_dendritic,total_corridor_length,7.842060,0.531274,6.956006,7.830863,8.675272
edge_disturbance,hybrid_dendritic,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,hybrid_dendritic,final_persistent_species,11.640000,0.597956,10.450000,12.000000,12.000000
edge_disturbance,hybrid_dendritic,long_run_persistent_species,11.640000,0.597956,10.450000,12.000000,12.000000
edge_disturbance,hybrid_dendritic,recent_persistent_species,11.640000,0.597956,10.450000,12.000000,12.000000
edge_disturbance,hybrid_dendritic,persistent_species_per_length,1.489949,0.114214,1.306394,1.478350,1.658246
edge_disturbance,hybrid_dendritic,final_mean_occupancy,0.478967,0.024842,0.434833,0.481667,0.510917
edge_disturbance,hybrid_dendritic,recent_evenness,0.900417,0.026002,0.862933,0.903546,0.939982
edge_disturbance,hybrid_dendritic,recent_regional_total,9708.006158,304.911244,9263.617668,9717.666946,10118.844222
edge_disturbance,hybrid_dendritic,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
edge_disturbance,hybrid_dendritic,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
edge_disturbance,hybrid_dendritic,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
edge_disturbance,hybrid_dendritic,species_extinctions,0.300000,0.543984,0.000000,0.000000,1.000000
